epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1087.1,0.93393,2.06981,1.37685,0.15101,0.59,0.21702,0.10705,1.69541,3.22302,3.24288,0.0701875,0.0033125,0.0033125
2,2118.85,0.82517,1.74945,1.27557,0.80856,0.09438,0.07227,0.04268,1.41965,5.9359,2.44464,0.0400559,0.00651425,0.00651425
3,6945.61,0.78461,1.63957,1.24416,0.25781,0.65992,0.40362,0.3348,0.72479,1.80772,1.22996,0.00979233,0.00958399,0.00958399
4,8103.61,0.71819,1.55644,1.19828,0.22955,0.60557,0.35762,0.27022,0.75426,1.73699,1.16978,0.009406,0.009406,0.009406
5,9231.36,0.70493,1.483,1.19011,0.27318,0.74717,0.47593,0.43162,0.4572,1.42639,0.91683,0.009208,0.009208,0.009208
6,10237.7,0.66493,1.42667,1.16369,0.19243,0.33685,0.2186,0.19066,0.55466,3.5909,1.00049,0.00901,0.00901,0.00901
7,11065.9,0.623,1.38859,1.14451,0.36352,0.55977,0.47992,0.43714,0.41055,1.48381,0.92027,0.008812,0.008812,0.008812
8,11887.1,0.60966,1.35835,1.13153,0.58851,0.44296,0.46571,0.41685,0.43622,1.64608,0.91991,0.008614,0.008614,0.008614
9,12690.9,0.59647,1.2907,1.12212,0.4833,0.7456,0.57791,0.53586,0.3963,1.204,0.79426,0.008416,0.008416,0.008416
10,13498.2,0.56817,1.27304,1.10158,0.34837,0.73669,0.55154,0.5148,0.33795,1.52924,0.7333,0.008218,0.008218,0.008218
11,14426.7,0.57978,1.27241,1.10702,0.3122,0.62607,0.44639,0.40747,0.45786,2.12128,0.88374,0.00802,0.00802,0.00802
12,15335.7,0.56422,1.20974,1.0968,0.49294,0.79023,0.69326,0.67507,0.26804,1.08413,0.70391,0.007822,0.007822,0.007822
13,16226.8,0.55559,1.21022,1.09226,0.54818,0.7642,0.65728,0.60764,0.35884,1.11084,0.79006,0.007624,0.007624,0.007624
14,17051.3,0.5392,1.14159,1.08268,0.57993,0.80398,0.7476,0.68436,0.39207,0.88796,0.83397,0.007426,0.007426,0.007426
15,17862.5,0.53381,1.12188,1.08041,0.42052,0.55103,0.50167,0.48147,0.28348,2.15316,0.76112,0.007228,0.007228,0.007228
16,18750.7,0.52003,1.10188,1.07673,0.48454,0.66749,0.64859,0.62094,0.29745,1.38618,0.75551,0.00703,0.00703,0.00703
17,19788.8,0.50894,1.08621,1.07485,0.55596,0.82038,0.77345,0.73549,0.28466,0.84151,0.70771,0.006832,0.006832,0.006832
18,20945.4,0.50199,1.07975,1.07292,0.56357,0.79856,0.68868,0.65471,0.32464,1.12967,0.71878,0.006634,0.006634,0.006634
19,22087.2,0.50924,1.01009,1.07221,0.59746,0.66686,0.71435,0.68781,0.29798,1.27524,0.70173,0.006436,0.006436,0.006436
20,23046.5,0.50264,1.01789,1.06784,0.69263,0.8441,0.86436,0.82522,0.27158,0.66965,0.71901,0.006238,0.006238,0.006238
21,23941.3,0.49558,0.93335,1.06281,0.61881,0.83145,0.8611,0.8437,0.23684,0.7665,0.66792,0.00604,0.00604,0.00604
22,24880.2,0.47917,0.87735,1.05321,0.87021,0.80035,0.90422,0.88556,0.25533,0.58498,0.71066,0.005842,0.005842,0.005842
23,25815,0.48906,0.88677,1.05759,0.76364,0.79869,0.85716,0.84162,0.23781,0.72235,0.65433,0.005644,0.005644,0.005644
24,26725.9,0.46463,0.87129,1.04339,0.85237,0.86708,0.94601,0.93302,0.22672,0.50632,0.63738,0.005446,0.005446,0.005446
